					
	Korean	Definition	English	Context	Hashtags
	번뜩	물체 따위에 반사된 큰 빛이 순간적으로 세게 잠깐 나타나는 모양을 나타내는 말	FLASH		#느낌
	번쩍	크고 환한 빛이 잠깐 조금 세게 빛나는 모양	DAZZLE GLIMMER SPARKLE TWINKLE		#느낌
	벌떡	눕거나 앉아 있다가 갑자기 큰 동작으로 급하게 일어나는 모양	JUMP SPRING LEAP (POUNCE) RISE JOLT SPRING ALERT STAND		#모션 #빠름 #행동 #몸
	벌컥	급하고 거칠게 들이켜는 소리를 자꾸 내다	GULP SIP (CHUG)		#행동 #급작
	벌컥	닫혀 있던 것을 갑자기 거세게 여는 모양을 나타내는 말	BURST FLING THUNK		#소리
	부글	화가 부글부글 끓다	BOIL		#감정 #화남
	부글부글	1.많은 양의 액체가 계속 야단스럽게 끓어오르는 소리 2.거품이 계속 크고 빠르게 일어나는 소리	BUBBLE		#액체 #소리
	부들	두려움으로 인하여 몸이 벌벌 떨림	TREMBLE SHAKE SHIVER (if cold) QUIVER		#몸 #상태 #모션
	부릅	보기 무섭고 사나울 정도로 눈을 크게 뜨다	GLARE		#표정 #화남 #얼굴
	부비적	서로 맞대어 자꾸 문지르다	RUB SCRUB WIPE		#스킨쉽 #모습
	부스스	몸의 털 따위가 몹시 어지럽게 일어나거나 흐트러진 모양	RUSTLE		#느낌
	부우웅	자동차나 기계 따위가 발동할 때 요란스럽게 나는 소리	VROOM		#소리 #큰소리
	부웅	자동차나 기계 따위가 발동할 때 요란스럽게 나는 소리	VROOM		#소리 #큰소리
	부웅	허공에 들리거나 뜨는 모양	HOVER/FLOAT		#모션
	불끈	주먹을 힘을 주어 꽉 쥐는 모양	CLENCH GRIP		#작은모션
	불쑥불쑥	갑자기 여기저기 자꾸 불룩하게 쑥 나오거나 내미는 모양을 나타내는 말	APPEAR APPROACH STEP WHOOSH (SLIP)		#등장 #모션 #급작 #큰모션
	비실비실	힘이 없어서 자꾸 흐느적거리다	TREMBLE FALTER STAGGER (WEAK)		#몸 #상태 #모션
	비틀	힘이 없거나 어지러워 몸을 바로 가누지 못하고 이리저리 쓰러질 듯이 계속 걷다	STUMBLE WOBBLE		#행동 #모션
	빔	레이저 장치로 방출되는 빛	PEW ZZZZZZTTT		#느낌
	빙글	잇따라 매끄럽게 도는 모양	SPIN SWING		#행동 #모션
	빠드득	단단하고 질기거나 매끄러운 물건을 세게 문지르거나 마주 갈 때 나는 소리	GRIND		#부서짐 #큰소리
	빠득	단단하고 질기거나 매끄러운 물건을 세게 문지르거나 마주 갈 때 나는 소리	GRIND		#부서짐 #큰소리
	빠밤	관악기나 경적 따위가 크게 울리는 소리	DADADA BEEBEEP		#소리 #큰소리
	빠직	질기고 빳빳한 물건이 갑자기 세게 째어지거나 갈라질 때 나는 소리	CRACK SNAP		#부서짐 #큰소리
	빡	크고 단단한 물건이 갑자기 부러지거나 깨지거나 부서지는 소리	SMACK WHAM		#타격 #소리
